,prediction
3300027870_25,facultative
3300026549_80,facultative
3300029393_7,facultative
3300025530_16,facultative
3300027900_29,facultative
3300020429_4,facultative
3300003146_19,facultative
3300011989_13,facultative
3300007368_13,facultative
3300022742_10,facultative
3300029486_13,facultative
3300013656_1,facultative
3300026851_7,facultative
3300006564_21,facultative
3300024243_15,facultative
3300026255_11,facultative
3300000260_3,facultative
3300029715_39,facultative
3300006290_2,facultative
3300025722_14,facultative
3300007288_5,facultative
3300027909_25,facultative
3300027863_92,facultative
3300027742_33,facultative
3300028044_16,aerobe
3300000227_14,aerobe
3300024508_2,facultative
3300025659_10,facultative
3300000969_9,facultative
3300014803_4,facultative
3300029841_12,facultative
3300022660_165,facultative
2140918027_2,facultative
3300025657_17,anaerobe
3300025052_6,facultative
3300017395_19,facultative
3300027801_18,facultative
3300014025_26,facultative
3300011725_2,facultative
3300013138_217,facultative
3300027832_34,facultative
3300029254_20,facultative
3300014778_10,facultative
3300008493_15,facultative
3300012889_15,facultative
3300029556_11,facultative
3300000167_13,facultative
3300021387_111,facultative
3300029314_6,facultative
3300026087_16,facultative
3300021471_12,anaerobe
3300014149_27,anaerobe
3300000839_35,facultative
3300013752_10,facultative
3300014203_89,facultative
3300026124_8,facultative
3300020272_17,facultative
3300020465_7,facultative
3300014613_11,facultative
3300027124_7,facultative
3300011922_11,facultative
3300005613_10,facultative
3300029721_7,facultative
3300027852_63,facultative
3300020074_23,facultative
3300017946_9,facultative
3300026195_29,anaerobe
3300010280_43,facultative
3300017395_6,facultative
3300020213_32,facultative
3300026078_21,facultative
3300029434_17,facultative
3300020477_10,facultative
3300029501_13,facultative
3300024327_15,facultative
3300026092_4,facultative
3300008748_10,facultative
3300011858_2,facultative
3300007793_16,facultative
3300027905_84,facultative
3300017398_31,facultative
3300008621_12,facultative
3300025304_17,facultative
3300010263_9,facultative
3300027793_42,facultative
3300012888_13,facultative
3300025465_10,facultative
3300029856_11,facultative
3300024192_3,facultative
3300029793_13,facultative
3300000227_26,facultative
3300010281_11,facultative
3300028601_35,facultative
3300011920_4,facultative
3300013123_59,facultative
3300029547_10,facultative
3300008611_4,facultative
3300022181_50,anaerobe
3300027284_18,facultative
3300002167_14,facultative
3300007287_2,facultative
3300029122_24,facultative
3300017649_12,facultative
3300026522_37,facultative
3300029612_15,facultative
3300029788_36,facultative
3300029483_30,facultative
3300008133_30,facultative
3300012942_71,facultative
3300024344_3,facultative
3300008408_11,facultative
3300020340_7,facultative
3300021400_113,facultative
3300029773_18,facultative
3300028191_15,facultative
3300007804_4,facultative
3300014709_11,facultative
3300013103_34,facultative
3300027838_49,facultative
2119805007_8,facultative
3300007969_10,facultative
3300025762_5,facultative
3300021376_75,facultative
3300008479_11,facultative
3300014694_3,facultative
3300027958_32,facultative
3300011710_5,facultative
3300008502_8,facultative
3300027878_33,facultative
3300029112_6,facultative
3300029324_5,facultative
3300020449_19,facultative
3300025621_8,facultative
3300000228_27,facultative
3300025456_12,facultative
3300017971_58,facultative
3300020203_48,facultative
3300027325_25,facultative
3300029365_17,facultative
3300029575_22,facultative
3300028129_8,facultative
3300025775_22,facultative
3300007648_25,facultative
3300025513_7,facultative
3300029572_33,facultative
3300029563_24,facultative
3300000233_14,facultative
3300028272_12,facultative
3300028169_22,facultative
3300028567_41,facultative
3300025629_47,facultative
3300001095_3,facultative
3300004628_31,facultative
3300029872_25,facultative
3300008575_15,facultative
3300007977_4,facultative
3300027848_22,facultative
3300027391_25,facultative
3300029684_5,facultative
3300012886_37,facultative
3300010263_26,facultative
3300014585_3,facultative
3300014565_12,facultative
3300025079_5,facultative
3300029487_8,facultative
3300025788_11,facultative
3300029398_6,facultative
3300027980_24,facultative
3300007722_62,facultative
3300029297_27,facultative
3300008420_16,facultative
3300024966_10,facultative
3300029374_28,facultative
3300012974_30,facultative
3300005529_113,facultative
3300029505_6,facultative
3300025720_60,facultative
3300028603_84,facultative
3300029315_19,facultative
3300027796_44,facultative
3300025871_46,facultative
3300029762_15,facultative
3300025466_8,facultative
3300029733_16,anaerobe
3300002186_11,facultative
3300011212_4,facultative
3300023251_3,facultative
3300029562_5,facultative
3300012270_8,facultative
3300021479_5,facultative
3300022933_30,facultative
3300029372_3,facultative
3300014208_126,facultative
3300013884_9,facultative
3300006564_31,facultative
3300000164_19,facultative
3300027365_4,facultative
3300014050_20,facultative
3300012117_2,facultative
3300013136_59,facultative
3300005086_12,anaerobe
3300013104_26,facultative
3300027532_42,facultative
3300027412_7,facultative
3300005460_42,facultative
3300027370_2,facultative
3300027021_3,facultative
3300025689_30,facultative
3300007519_88,facultative
3300025252_16,facultative
3300000214_11,facultative
3300020735_8,facultative
3300009787_18,facultative
3300029484_23,facultative
3300010370_25,facultative
3300010375_28,facultative
3300025611_42,facultative
3300012574_2,facultative
3300007977_3,facultative
3300029382_24,facultative
3300017991_99,anaerobe
3300018013_22,facultative
3300014731_4,facultative
3300028581_17,facultative
3300008012_40,facultative
3300010273_16,facultative
3300025451_1,facultative
3300021426_60,facultative
3300025762_36,anaerobe
3300011862_3,facultative
3300024324_15,facultative
3300020204_28,facultative
3300026282_7,facultative
3300013136_91,facultative
3300013136_147,facultative
3300020364_13,facultative
3300017400_28,facultative
3300011939_3,facultative
3300026079_8,facultative
3300014720_12,facultative
3300014936_13,facultative
3300027656_12,facultative
3300028567_40,facultative
3300006743_8,facultative
3300007360_17,facultative
3300029006_6,facultative
3300027834_63,facultative
3300014781_8,facultative
3300006678_22,facultative
3300029732_10,facultative
3300021419_9,facultative
3300028999_5,facultative
3300013481_1,facultative
3300026116_36,facultative
3300029330_16,facultative
3300012830_10,facultative
3300027685_51,facultative
3300025350_21,facultative
3300011822_4,facultative
3300009840_13,facultative
3300029533_14,facultative
3300010267_31,facultative
3300029641_8,facultative
3300029381_31,facultative
3300014627_3,facultative
3300007940_9,facultative
3300029330_12,facultative
3300027623_22,facultative
3300011147_1,facultative
3300027902_39,facultative
3300008275_7,facultative
3300020196_48,facultative
3300021051_1,facultative
3300013006_23,facultative
3300029447_27,facultative
3300012983_21,facultative
3300000232_25,facultative
3300011810_4,facultative
3300020183_61,aerobe
3300027763_34,facultative
3300027863_222,anaerobe
3300025493_3,facultative
3300026848_2,facultative
3300029503_12,facultative
3300011234_5,facultative
3300007320_24,facultative
3300011206_5,aerobe
3300022660_51,facultative
3300010372_14,facultative
3300000146_14,facultative
3300025297_18,facultative
3300025613_6,facultative
3300029675_10,facultative
3300006226_70,facultative
3300025461_4,facultative
3300027815_80,facultative
3300027373_16,facultative
3300029709_13,facultative
3300021426_43,facultative
3300020367_1,facultative
3300022753_148,facultative
2236876025_11,facultative
3300029197_10,facultative
3300025681_30,facultative
3300015360_79,facultative
3300021604_21,facultative
3300009083_34,facultative
3300029399_15,facultative
3300017418_14,facultative
3300025571_45,facultative
3300027730_39,facultative
3300020336_4,facultative
3300025909_27,facultative
3300029051_11,facultative
3300022866_9,facultative
3300027893_46,facultative
3300007354_9,facultative
3300011721_2,facultative
3300011976_48,facultative
3300025934_24,facultative
3300020403_30,facultative
3300029548_12,facultative
3300029704_8,facultative
3300026284_9,facultative
3300018039_44,facultative
3300009770_50,facultative
3300025821_27,facultative
3300027653_25,facultative
3300025622_39,facultative
3300012979_15,facultative
3300007794_11,facultative
3300025105_18,facultative
3300028992_5,facultative
3300007220_45,facultative
3300029716_15,facultative
3300029369_15,facultative
3300002163_34,facultative
3300029668_21,facultative
3300027777_8,facultative
3300027898_10,facultative
3300008096_34,facultative
3300013137_189,anaerobe
3300029589_29,facultative
3300012609_2,facultative
3300025648_14,facultative
3300029195_7,facultative
3300012952_8,facultative
3300025894_43,facultative
3300026509_5,facultative
3300029247_7,facultative
3300000032_18,facultative
3300013014_65,facultative
3300002174_16,facultative
3300024956_3,facultative
3300012178_15,facultative
3300028400_47,facultative
3300011467_1,facultative
3300025105_65,facultative
3300025750_14,facultative
3300025860_76,facultative
3300028958_7,facultative
3300014551_13,facultative
3300020423_15,facultative
3300024921_8,facultative
3300011185_7,facultative
3300025409_5,facultative
3300013830_18,facultative
3300025048_1,facultative
3300029365_27,facultative
3300025295_47,facultative
3300006564_24,facultative
3300029880_23,facultative
3300027804_52,facultative
3300008523_8,facultative
3300004628_34,facultative
3300029464_21,facultative
3300027794_34,facultative
3300025617_31,facultative
3300007776_16,anaerobe
3300027700_21,facultative
3300025424_7,facultative
3300008063_29,facultative
3300020477_196,facultative
3300013131_141,facultative
3300029181_12,facultative
3300009147_51,facultative
3300011876_4,facultative
3300013005_67,aerobe
3300012170_7,facultative
3300017419_21,facultative
3300026278_36,facultative
3300022745_9,facultative
3300029718_23,facultative
3300027819_94,facultative
3300020390_13,facultative
3300007320_26,facultative
3300023301_4,facultative
3300029817_4,facultative
3300008214_5,facultative
3300025882_20,facultative
3300027911_51,facultative
3300028571_27,facultative
3300028905_3,facultative
3300007358_11,facultative
3300012186_15,facultative
3300029402_17,facultative
3300029005_9,facultative
3300017498_28,facultative
3300005068_5,anaerobe
3300025592_13,facultative
3300029886_17,facultative
3300011459_4,facultative
3300025739_24,facultative
3300027827_16,facultative
3300027823_62,facultative
3300005983_16,facultative
3300029736_10,facultative
3300020470_25,aerobe
3300021513_22,facultative
3300029053_8,facultative
3300020149_6,facultative
3300008534_19,facultative
3300020221_41,facultative
3300010280_20,facultative
3300025094_4,facultative
3300025847_26,facultative
3300029791_21,facultative
3300027366_3,facultative
3300013749_10,facultative
3300029447_32,facultative
3300008734_21,facultative
3300019135_4,facultative
3300025895_7,facultative
3300000563_32,facultative
3300020184_31,facultative
3300029104_16,facultative
3300025911_64,facultative
3300024311_7,facultative
3300005512_33,facultative
3300028400_13,facultative
3300023108_24,facultative
3300026311_90,facultative
3300025590_10,facultative
3300005504_5,facultative
3300029709_29,facultative
3300011859_5,facultative
3300024312_9,facultative
3300006226_90,facultative
3300029480_16,facultative
3300003483_1,facultative
3300007654_11,facultative
3300014038_18,facultative
3300025294_22,facultative
3300029186_13,facultative
3300020395_15,facultative
3300025719_32,facultative
3300013768_4,facultative
3300029240_14,facultative
3300025869_61,facultative
3300013791_1,facultative
3300021093_30,facultative
3300020250_2,facultative
3300021487_7,facultative
3300019487_30,facultative
3300017989_66,anaerobe
3300024929_3,facultative
3300029594_10,facultative
3300029549_11,facultative
3300026988_3,facultative
3300027317_8,facultative
3300028631_10,facultative
3300013100_20,facultative
3300004630_4,facultative
3300008739_13,facultative
3300029848_10,facultative
3300027757_20,facultative
3300012974_17,facultative
3300026272_8,facultative
3300011890_1,facultative
3300017485_1,facultative
3300025703_6,facultative
3300010339_29,facultative
3300029094_4,facultative
3300010299_10,facultative
3300029876_32,facultative
3300007531_27,facultative
3300000575_28,facultative
3300026156_11,facultative
3300029857_39,facultative
3300029874_19,facultative
3300024280_3,facultative
3300006476_19,facultative
3300013103_59,facultative
3300024895_3,facultative
3300014561_5,facultative
3300018427_69,facultative
3300013127_110,facultative
3300014819_13,facultative
3300020197_31,facultative
3300007132_4,facultative
3300028048_84,facultative
3300013137_37,facultative
3300025691_49,facultative
3300012005_18,facultative
3300020449_15,facultative
3300005337_29,facultative
3300014636_1,facultative
3300025637_22,facultative
3300020422_4,facultative
3300015370_40,facultative
3300026091_13,facultative
3300014583_1,facultative
3300011522_7,facultative
3300029770_15,facultative
3300028073_6,facultative
3300013877_2,facultative
3300007105_5,facultative
3300029339_23,facultative
3300025141_6,facultative
3300025250_6,facultative
3300029711_19,facultative
3300029523_12,facultative
3300018430_97,facultative
3300025684_45,facultative
3300026134_2,facultative
3300000234_17,facultative
3300029554_24,facultative
3300014911_95,facultative
3300029511_16,facultative
3300025665_46,facultative
3300010278_13,facultative
3300011384_2,facultative
3300025349_7,facultative
3300020194_50,aerobe
3300029856_12,facultative
3300008273_1,facultative
3300025595_10,facultative
3300008524_3,facultative
3300029827_9,facultative
3300017987_73,facultative
3300027974_14,facultative
3300029331_19,facultative
3300028398_28,facultative
3300029873_15,facultative
3300020440_52,aerobe
3300029528_3,facultative
3300029582_21,facultative
3300026311_57,facultative
3300029116_19,facultative
3300014914_28,facultative
3300007797_20,facultative
3300029770_25,facultative
3300014511_3,facultative
3300023184_45,facultative
3300029011_8,facultative
3300028028_23,facultative
3300014206_85,facultative
3300008142_42,facultative
3300017937_5,facultative
3300011826_3,facultative
3300029340_9,facultative
3300025683_33,facultative
3300025894_57,facultative
3300029185_7,facultative
3300026282_15,facultative
3300025132_5,facultative
3300006462_9,facultative
3300029702_33,facultative
3300027156_5,facultative
3300006566_8,facultative
3300012036_7,facultative
3300029605_11,facultative
3300011909_2,facultative
3300007802_17,facultative
3300013127_15,facultative
3300027494_5,facultative
3300011618_2,facultative
2140918012_1,facultative
3300008716_15,facultative
3300029842_10,facultative
3300027498_18,facultative
3300027746_7,facultative
3300021387_66,facultative
3300011580_4,facultative
3300014720_84,facultative
3300014060_27,facultative
3300025643_24,facultative
3300027747_29,facultative
3300023225_8,facultative
3300008492_2,facultative
3300029858_36,facultative
3300012830_7,facultative
3300029842_15,facultative
3300012010_10,facultative
3300029767_15,facultative
3300010400_36,facultative
3300029421_14,facultative
3300029623_38,anaerobe
3300020426_11,facultative
3300025696_16,facultative
3300002963_5,facultative
3300025472_25,facultative
3300023299_6,facultative
3300020281_11,facultative
2199352010_2,facultative
3300012078_10,facultative
3300003523_77,facultative
3300029558_14,facultative
3300009702_145,facultative
3300027345_6,facultative
3300029704_17,facultative
3300029240_21,facultative
3300029822_21,facultative
3300029764_22,facultative
3300008680_16,facultative
3300007097_3,facultative
3300011870_4,facultative
3300029732_23,facultative
3300022884_5,facultative
3300028997_5,facultative
3300023116_38,facultative
3300029529_5,facultative
3300029098_8,facultative
3300007946_2,facultative
3300028417_17,facultative
3300026035_7,facultative
3300008078_11,facultative
3300026044_1,facultative
3300007357_20,facultative
3300027703_6,facultative
3300018475_82,facultative
3300005326_100,facultative
3300020413_13,facultative
3300008279_5,facultative
3300027419_19,facultative
3300011990_28,facultative
3300018020_35,facultative
3300027794_45,aerobe
3300021376_68,facultative
3300022135_6,facultative
3300020137_6,facultative
3300027749_48,facultative
3300026096_3,facultative
3300000234_64,facultative
3300011792_2,facultative
3300029712_18,facultative
3300018476_15,facultative
3300025613_49,facultative
3300011922_8,facultative
3300019768_10,facultative
3300025676_32,facultative
3300024299_12,facultative
3300020716_7,facultative
3300007977_12,facultative
3300014766_13,facultative
3300029415_14,facultative
3300028178_14,facultative
3300007348_10,facultative
3300020139_43,facultative
3300027328_29,facultative
3300014886_10,anaerobe
3300007978_6,facultative
3300013125_111,facultative
3300026825_14,facultative
3300026290_155,facultative
3300008101_28,facultative
3300029661_10,facultative
3300005281_26,facultative
3300027355_2,facultative
3300022890_5,facultative
3300008747_8,facultative
3300020182_20,facultative
3300007786_2,facultative
3300017975_11,anaerobe
3300029469_14,facultative
3300024259_32,facultative
3300011988_42,facultative
3300027057_5,anaerobe
3300027815_63,facultative
3300029035_11,facultative
3300007771_12,facultative
3300026124_7,facultative
3300020591_6,facultative
3300008362_5,facultative
3300021400_76,facultative
3300029486_11,facultative
3300008520_21,facultative
3300022920_21,facultative
3300017533_19,facultative
3300007222_25,facultative
3300010276_7,facultative
3300025302_6,facultative
3300028399_17,facultative
3300025680_20,facultative
3300027976_92,facultative
3300025877_8,facultative
3300027819_70,facultative
3300027906_20,facultative
3300025362_5,facultative
3300025815_23,facultative
3300023295_7,facultative
3300025613_63,facultative
3300014948_5,facultative
3300010160_49,facultative
3300026278_12,facultative
3300027498_17,aerobe
3300021338_17,facultative
3300022920_26,facultative
3300029197_12,facultative
3300013136_159,facultative
3300024491_5,facultative
3300025576_16,facultative
3300013137_62,facultative
3300029842_24,facultative
3300025869_16,facultative
3300011622_2,facultative
3300009503_70,facultative
3300027316_4,facultative
3300014563_11,facultative
3300013909_1,facultative
3300011836_3,facultative
3300025592_7,facultative
3300008626_6,facultative
3300029360_34,facultative
3300021419_22,facultative
3300027286_10,facultative
3300018043_11,facultative
3300014573_6,facultative
3300027860_14,facultative
3300020074_69,facultative
3300006248_2,facultative
3300027896_89,facultative
3300012921_32,facultative
3300029616_24,facultative
3300025688_31,facultative
3300000929_22,facultative
3300008524_9,facultative
3300021399_37,facultative
3300028129_7,facultative
3300012811_8,facultative
3300027975_15,facultative
3300001683_40,facultative
3300007316_34,facultative
3300013296_68,facultative
3300020192_57,facultative
3300029880_22,facultative
3300014208_146,facultative
3300010282_14,facultative
3300029796_31,facultative
3300008483_7,facultative
3300001102_7,facultative
3300027345_5,facultative
3300021471_24,facultative
3300025350_13,facultative
3300026194_8,facultative
3300014630_2,facultative
3300029522_22,facultative
3300024324_24,facultative
3300024262_19,facultative
3300029723_12,facultative
3300006476_18,facultative
3300027983_48,facultative
3300026269_17,facultative
3300020188_42,facultative
3300021318_9,facultative
3300017950_14,facultative
3300028008_4,facultative
3300027864_38,facultative
3300017406_42,facultative
3300002307_8,facultative
3300027980_23,facultative
3300013347_1,facultative
3300022661_122,facultative
3300015165_3,facultative
3300008150_16,facultative
3300014156_8,facultative
3300011617_3,facultative
3300008748_20,facultative
3300029195_12,facultative
3300014771_15,facultative
3300020057_26,facultative
3300026265_22,facultative
3300027287_3,facultative
3300006289_8,facultative
3300026280_21,facultative
3300025642_35,facultative
3300000347_5,facultative
3300024255_28,facultative
3300010162_58,facultative
3300011187_4,facultative
3300011369_1,facultative
3300013940_4,facultative
3300014803_7,facultative
3300028396_5,facultative
3300008272_21,facultative
3300013137_224,facultative
3300021387_133,facultative
3300025641_34,facultative
3300025061_2,facultative
3300027850_113,facultative
3300013128_21,facultative
3300017969_17,facultative
3300027343_6,facultative
3300024314_3,facultative
3300026874_2,facultative
3300026302_18,facultative
3300023235_12,aerobe
3300008729_7,facultative
3300025384_3,facultative
3300029621_13,facultative
3300029578_16,facultative
2228664008_3,facultative
3300007500_37,facultative
3300008149_15,facultative
3300025503_7,facultative
3300025435_14,facultative
3300025211_2,facultative
3300011215_3,facultative
3300029488_21,facultative
3300008406_14,facultative
3300029730_6,facultative
3300029766_27,facultative
3300020375_18,facultative
3300007888_2,facultative
3300005722_4,facultative
3300029544_14,facultative
3300017958_32,aerobe
3300029587_30,facultative
3300025598_4,facultative
3300021131_5,facultative
3300029712_26,facultative
3300025596_37,facultative
3300025809_19,facultative
3300014109_13,facultative
3300025565_8,facultative
3300029394_22,facultative
3300006299_3,facultative
3300027880_7,facultative
3300028557_21,facultative
3300029737_15,facultative
3300029859_10,facultative
3300025462_13,facultative
3300020477_63,facultative
3300025892_80,facultative
3300020139_32,facultative
3300029595_24,facultative
3300025665_39,facultative
3300011765_4,facultative
3300015207_25,facultative
3300009503_146,facultative
3300007126_12,facultative
3300029124_5,facultative
3300027976_80,facultative
3300025448_3,facultative
3300001419_15,facultative
3300025662_8,facultative
3300027627_17,facultative
3300014208_154,facultative
3300029435_29,facultative
3300029095_9,facultative
3300000169_9,facultative
3300027954_4,facultative
3300027754_20,facultative
3300025689_23,anaerobe
3300009826_116,facultative
3300007285_5,facultative
3300022660_140,facultative
3300014643_3,facultative
3300029113_10,facultative
3300015024_11,facultative
3300024353_26,facultative
3300029842_25,facultative
3300017533_16,facultative
3300014206_70,facultative
3300027844_109,facultative
3300011804_4,facultative
3300002163_26,facultative
3300024964_8,facultative
3300027222_7,facultative
3300006991_1,facultative
3300025737_51,facultative
3300009762_12,facultative
3300024972_8,facultative
3300029814_11,facultative
3300011527_2,facultative
3300025214_1,facultative
3300008571_4,facultative
3300028603_83,facultative
3300006462_7,facultative
3300002092_2,facultative
3300011843_2,facultative
3300012908_3,facultative
3300029849_9,facultative
3300025232_10,facultative
3300028569_28,facultative
3300007140_3,facultative
3300026290_99,facultative
3300013137_80,facultative
3300029434_26,facultative
3300013131_10,facultative
3300026294_7,facultative
3300010260_22,facultative
3300025546_23,facultative
3300026087_7,facultative
3300025405_9,facultative
3300008722_10,facultative
3300029023_12,facultative
3300025576_17,facultative
3300015360_150,facultative
3300027656_28,facultative
3300013006_15,facultative
3300020183_30,facultative
3300026519_21,facultative
3300024257_7,facultative
3300013018_4,facultative
3300014545_3,facultative
3300025512_5,facultative
3300023081_39,facultative
3300011877_6,facultative
3300020327_22,facultative
3300006304_6,facultative
3300029409_16,facultative
3300012802_8,facultative
3300025867_92,facultative
3300013667_2,facultative
3300023049_10,facultative
3300028978_2,facultative
3300028193_21,facultative
3300012089_8,facultative
3300026825_11,facultative
3300026280_12,facultative
3300025938_5,facultative
3300007121_12,facultative
3300020298_9,facultative
3300027878_106,facultative
3300022928_37,facultative
3300017420_1,facultative
3300024506_3,facultative
3300021123_1,facultative
3300021387_107,facultative
3300029329_15,facultative
3300008089_17,facultative
3300029248_21,facultative
3300028568_65,facultative
3300025528_4,facultative
3300006565_7,facultative
3300026280_29,facultative
3300025882_5,facultative
3300012007_6,facultative
3300014936_7,facultative
3300000226_19,facultative
3300000216_7,facultative
2014031004_2,facultative
3300010339_18,facultative
3300012079_2,facultative
3300027498_21,facultative
3300029717_30,anaerobe
3300012815_2,facultative
3300029538_15,facultative
3300012003_21,facultative
3300011677_4,facultative
3300026762_1,facultative
3300028299_37,facultative
3300000233_9,facultative
3300008754_7,facultative
3300029870_24,facultative
3300010269_20,anaerobe
3300020440_37,facultative
3300029104_7,facultative
3300025093_16,facultative
3300017509_58,facultative
3300012088_4,facultative
3300000230_24,facultative
3300005529_111,facultative
3300012842_10,facultative
3300000205_12,facultative
3300020214_31,facultative
3300008743_8,facultative
3300006328_10,facultative
3300022181_40,facultative
3300029714_18,facultative
3300027742_35,facultative
3300008214_3,facultative
3300013391_3,facultative
3300028188_5,anaerobe
3300017480_10,facultative
3300014913_20,facultative
3300020191_36,facultative
3300029760_16,facultative
3300029361_27,facultative
3300012983_16,facultative
3300020403_12,facultative
3300021604_9,facultative
3300025660_17,facultative
3300006879_35,facultative
3300024256_17,facultative
3300025691_10,facultative
3300024932_5,facultative
3300025832_23,facultative
3300000227_57,facultative
3300006259_14,facultative
3300025233_6,facultative
3300008080_4,facultative
3300029550_6,facultative
3300027835_47,facultative
3300013426_8,facultative
3300008493_25,facultative
3300014526_4,facultative
3300029748_31,facultative
3300025604_7,facultative
3300029184_8,facultative
3300027685_46,facultative
3300027419_12,facultative
3300018423_58,facultative
3300027515_17,facultative
3300011939_4,facultative
3300011376_1,facultative
3300008547_17,facultative
3300006333_2,facultative
3300007501_18,facultative
3300025643_23,facultative
3300013104_35,facultative
3300013182_5,facultative
3300008360_7,facultative
3300008565_6,facultative
3300029136_18,facultative
3300027963_20,aerobe
3300029724_11,facultative
3300012028_5,facultative
3300025545_20,facultative
3300027487_5,facultative
3300029684_12,facultative
3300010267_15,facultative
3300007066_9,facultative
3300020429_15,facultative
3300025770_35,facultative
3300025321_3,facultative
3300025740_34,anaerobe
3300006460_15,facultative
3300029137_14,facultative
3300008502_15,facultative
3300025105_43,facultative
3300024220_2,facultative
3300025681_22,facultative
3300026991_6,facultative
3300027015_7,facultative
3300029707_27,facultative
3300025881_82,facultative
3300029332_11,facultative
3300028030_16,facultative
3300026031_1,facultative
3300029053_15,facultative
3300024503_7,facultative
3300014055_7,facultative
3300020183_50,facultative
3300012043_7,facultative
3300008734_23,facultative
3300014702_3,facultative
3300029380_35,facultative
3300029331_24,facultative
3300029328_15,facultative
3300029235_9,facultative
3300018044_9,facultative
3300026078_29,facultative
3300006836_1,facultative
3300029479_11,facultative
3300010271_24,anaerobe
3300008715_28,facultative
3300027752_21,facultative
3300024335_5,facultative
3300006476_14,facultative
3300014530_9,facultative
3300027711_20,facultative
3300025874_62,facultative
3300014938_4,facultative
3300029529_8,facultative
3300029572_18,facultative
3300020578_64,facultative
3300014609_3,facultative
3300011844_1,facultative
3300026260_24,facultative
3300013131_174,facultative
3300011556_1,facultative
3300000866_14,facultative
3300021490_7,facultative
3300025686_31,facultative
3300011839_2,facultative
3300011806_3,facultative
3300011587_4,facultative
3300025525_6,facultative
3300028414_8,facultative
3300010153_10,facultative
3300007299_26,facultative
3300029609_19,facultative
3300005529_156,facultative
3300008337_11,facultative
3300029218_14,facultative
3300027261_2,facultative
3300027863_213,facultative
3300001919_7,facultative
3300020308_3,facultative
3300029892_11,facultative
3300001594_59,facultative
3300025613_4,facultative
3300027653_42,facultative
3300012948_4,facultative
3300028626_21,facultative
3300025869_46,facultative
3300017951_27,facultative
3300011921_8,facultative
3300011002_22,facultative
3300029132_6,facultative
3300007362_4,facultative
3300025678_20,facultative
3300027968_53,facultative
3300015214_47,facultative
3300019754_5,facultative
3300008135_14,facultative
3300012824_13,facultative
3300005326_63,facultative
3300025719_24,facultative
3300029358_9,facultative
3300025740_30,facultative
3300005937_24,facultative
3300014531_5,facultative
3300027850_78,facultative
3300024043_2,facultative
3300027336_9,facultative
3300027277_1,facultative
3300011575_2,facultative
3300012863_5,facultative
3300027796_13,facultative
3300015214_136,facultative
3300029525_4,facultative
3300012586_1,facultative
3300029521_11,facultative
3300026457_1,facultative
3300029240_20,facultative
3300011599_2,facultative
3300027835_223,facultative
3300024353_106,facultative
3300025720_59,anaerobe
3300028602_80,facultative
3300007066_6,facultative
3300000227_7,facultative
3300002170_51,facultative
3300000215_11,facultative
3300025411_6,facultative
3300008589_8,facultative
3300025039_7,facultative
3300020179_32,facultative
3300008360_18,facultative
3300029050_12,facultative
3300025341_2,facultative
3300020331_45,facultative
3300024313_5,facultative
3300012956_33,facultative
3300029715_13,facultative
3300029131_22,facultative
3300017788_109,facultative
3300012551_1,facultative
3300025350_3,facultative
3300017398_28,facultative
3300028032_35,facultative
3300012008_6,facultative
3300017398_41,facultative
3300029416_21,facultative
3300012145_3,facultative
3300027111_5,facultative
3300012126_4,facultative
3300019458_25,facultative
3300021508_5,anaerobe
3300011988_15,facultative
3300029241_12,facultative
3300028641_12,facultative
3300027900_69,facultative
3300010167_84,facultative
3300029136_27,facultative
3300025719_8,facultative
3300025737_79,facultative
3300025636_21,facultative
3300026007_9,facultative
3300026823_1,facultative
3300006312_7,facultative
3300025298_17,facultative
3300012118_5,facultative
3300025295_20,facultative
3300017480_51,facultative
3300013903_1,facultative
3300027536_22,facultative
3300029118_24,facultative
3300007796_22,facultative
3300025301_10,facultative
3300026265_15,facultative
3300029180_3,facultative
3300015204_7,facultative
3300014940_5,facultative
3300014517_2,facultative
3300029686_5,facultative
3300025724_4,facultative
3300022177_24,facultative
3300029587_15,facultative
3300006406_1,facultative
3300010049_67,facultative
3300010277_29,facultative
3300014162_11,facultative
3300021255_73,facultative
3300021091_61,facultative
3300010283_9,facultative
3300025618_9,facultative
3300029115_24,facultative
3300026290_80,anaerobe
3300027828_28,facultative
3300012268_7,facultative
3300013093_40,facultative
3300013021_6,facultative
3300008131_7,facultative
3300007125_32,facultative
3300008101_5,facultative
3300020057_25,facultative
3300027968_48,facultative
3300027344_6,facultative
3300025364_5,facultative
3300023179_36,facultative
3300027498_36,facultative
3300008725_26,facultative
3300008142_46,facultative
3300025713_47,facultative
3300028959_7,facultative
3300027863_176,facultative
3300029334_21,facultative
3300025587_14,anaerobe
3300029138_4,facultative
3300010267_18,anaerobe
3300027554_22,facultative
3300008634_24,facultative
3300027391_5,facultative
3300027717_8,facultative
3300025503_31,facultative
3300013125_48,facultative
3300009156_39,facultative
3300007793_28,facultative
3300025044_15,facultative
3300017400_21,facultative
3300009779_12,facultative
3300025631_40,facultative
3300029334_12,facultative
3300006260_19,facultative
3300025347_7,facultative
3300006237_39,facultative
3300006253_28,facultative
3300013123_49,facultative
3300007736_11,facultative
3300007364_1,facultative
3300020578_61,facultative
3300025291_13,facultative
3300006524_12,facultative
3300004761_3,facultative
3300012887_6,facultative
3300012182_32,facultative
3300000575_20,facultative
3300007335_7,facultative
3300027515_27,anaerobe
3300021049_2,facultative
3300019861_19,facultative
